deployment_id,time,latitude,longitude,receiver_model,receiver_reference_id,array_name,project_reference,recovery_datetime_utc
,UTC,degrees_north,degrees_east,,,,,UTC
DCK-001-VR2W-113219-3,2012-04-13T17:59:00Z,46.35873,-84.13517,VR2W,SMRSL_DCK-001,SMRSL,SMRSL,
DCK-002-VR2W-109429-1,2010-04-19T16:49:00Z,46.36021307,-84.12913784,VR2W,SMRSL_DCK-002,SMRSL,SMRSL,2010-06-23T18:42:00Z
DCK-002-VR2W-109429-2,2010-06-23T18:52:00Z,46.36017636,-84.12912399,VR2W,SMRSL_DCK-002,SMRSL,SMRSL,2010-07-29T14:11:00Z
DCK-002-VR2W-109471-4,2012-04-13T18:12:00Z,46.35926,-84.13213,VR2W,SMRSL_DCK-002,SMRSL,SMRSL,
DCK-002-VR2W-109970-3,2011-04-25T21:54:00Z,46.36030475,-84.12910978,VR2W,SMRSL_DCK-002,SMRSL,SMRSL,2011-08-06T19:18:00Z
DCK-003-VR2W-109431-1,2012-04-13T18:19:00Z,46.36026,-84.12942,VR2W,SMRSL_DCK-003,SMRSL,SMRSL,
DCK-004-VR2W-109877-1,2012-04-13T18:42:00Z,46.36181,-84.13075,VR2W,SMRSL_DCK-004,SMRSL,SMRSL,
DCK-005-VR2W-109421-1,2012-04-13T18:56:00Z,46.36114,-84.13373,VR2W,SMRSL_DCK-005,SMRSL,SMRSL,
DCK-006-VR2W-109473-1,2012-04-13T19:05:00Z,46.3604,-84.13627,VR2W,SMRSL_DCK-006,SMRSL,SMRSL,
EBG_087-VR2W-112342-2018_05_08T15,2018-05-08T15:06:00Z,42.40275,-80.14936,VR2W,V2LGLFC_EBG_087,V2LGLFC,V2LGLFC,
EBG_088-VR2W-112400-2018_05_08T14,2018-05-08T14:41:00Z,42.40202,-79.96656,VR2W,V2LGLFC_EBG_088,V2LGLFC,V2LGLFC,
EBG_090-VR2W-112476-2018_05_08T11,2018-05-08T11:23:00Z,42.39785,-79.60409,VR2W,V2LGLFC_EBG_090,V2LGLFC,V2LGLFC,
ECH-001-VR2W-109425-1,2010-04-26T18:20:00Z,46.50867,-84.045744,VR2W,SMRSL_ECH-001,SMRSL,SMRSL,2010-08-02T19:35:00Z
